station,unit,start,finish,grams,wingband,seconds
WH201,8,14/11/2016 06:39:31,14/11/2016 06:39:54,-00009.00,3791143601363,000023
WH201,2,14/11/2016 06:39:50,14/11/2016 06:40:45,-00030.00,3791149811115,000055
WH201,4,14/11/2016 06:39:59,14/11/2016 06:41:06,-00044.00,3791146761329,000067
WH201,3,14/11/2016 06:40:08,14/11/2016 06:40:23,-00007.00,3791146701529,000015
WH201,8,14/11/2016 06:40:25,14/11/2016 06:41:55,-00045.00,3791146721438,000090
WH201,7,14/11/2016 06:40:26,14/11/2016 06:40:56,-00021.00,3791146741701,000030
WH201,3,14/11/2016 06:40:38,14/11/2016 06:43:28,-00054.00,3791146761630,000170
WH201,6,14/11/2016 06:40:38,14/11/2016 06:41:03,-00019.00,3791149861609,000025
WH201,5,14/11/2016 06:40:54,14/11/2016 06:41:05,-00006.00,3791143651237,000011
WH201,2,14/11/2016 06:40:59,14/11/2016 06:41:54,-00017.00,3791152941403,000055
WH201,4,14/11/2016 06:41:15,14/11/2016 06:44:08,-00104.00,3791146761329,000173
WH201,7,14/11/2016 06:41:18,14/11/2016 06:41:57,-00027.00,3791146741701,000039
WH201,6,14/11/2016 06:41:56,14/11/2016 06:42:46,-00045.00,3791149861609,000050
WH201,7,14/11/2016 06:41:59,14/11/2016 06:42:12,-00008.00,3791146741701,000013
WH201,2,14/11/2016 06:42:04,14/11/2016 06:42:55,-00040.00,3791152901701,000051
WH201,5,14/11/2016 06:42:26,14/11/2016 06:42:44,-00001.00,3791143641445,000018
WH201,7,14/11/2016 06:42:38,14/11/2016 06:43:52,-00068.00,3791149811621,000074
WH201,2,14/11/2016 06:43:10,14/11/2016 06:43:50,-00031.00,3791143631639,000040
WH201,6,14/11/2016 06:43:14,14/11/2016 06:44:09,-00053.00,3791149831010,000055
WH201,5,14/11/2016 06:43:27,14/11/2016 06:43:38,-00005.00,3791146741035,000011
WH201,3,14/11/2016 06:43:43,14/11/2016 06:44:31,-00016.00,3791146701528,000048
WH201,5,14/11/2016 06:43:46,14/11/2016 06:43:54,-00002.00,3791152901701,000008
WH201,2,14/11/2016 06:44:04,14/11/2016 06:45:03,-00053.00,3791149861710,000059
